parent_type,parent_id,parent_name,parent_key,parent_state,parent_basin,parent_sub_basin,child_type,child_id,child_name,child_key,child_state,child_basin,child_sub_basin,intersection_area_sqkm,parent_overlap_pct,child_overlap_pct
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Rajkot,Rajkot,district||Gujarat||Rajkot,Gujarat,,,4987.0012,26.04,64.91
subbasin,BHA,Bhadar and other west flowing rivers,subbasin||BHA,,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,district,Gujarat||Surendranagar,Surendranagar,district||Gujarat||Surendranagar,Gujarat,,,29.0557,0.15,0.32
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Bihar||Araria,Araria,district||Bihar||Araria,Bihar,,,2733.3095,4.12,98.04
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Bihar||Bhagalpur,Bhagalpur,district||Bihar||Bhagalpur,Bihar,,,378.7969,0.57,14.81
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,West Bengal||Birbhum,Birbhum,district||West Bengal||Birbhum,West Bengal,,,4547.526,6.86,100.0
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,West Bengal||Dakshin Dinajpur,Dakshin Dinajpur,district||West Bengal||Dakshin Dinajpur,West Bengal,,,2213.7175,3.34,99.03
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,West Bengal||Darjiling,Darjiling,district||West Bengal||Darjiling,West Bengal,,,1301.4804,1.96,63.38
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Jharkhand||Deoghar,Deoghar,district||Jharkhand||Deoghar,Jharkhand,,,2261.9759,3.41,91.05
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,"Disputed (West Bengal , Bihar & Jharkhand)||Disputed (Sahibganj, Maldah & Katihar)","Disputed (Sahibganj, Maldah & Katihar)","district||Disputed (West Bengal , Bihar & Jharkhand)||Disputed (Sahibganj, Maldah & Katihar)","Disputed (West Bengal , Bihar & Jharkhand)",,,14.2618,0.02,100.0
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Jharkhand||Dumka,Dumka,district||Jharkhand||Dumka,Jharkhand,,,3635.6222,5.48,96.67
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Jharkhand||Giridih,Giridih,district||Jharkhand||Giridih,Jharkhand,,,325.4852,0.49,6.55
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Jharkhand||Godda,Godda,district||Jharkhand||Godda,Jharkhand,,,450.1317,0.68,19.69
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,West Bengal||Haora,Haora,district||West Bengal||Haora,West Bengal,,,1283.4952,1.94,87.33
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,West Bengal||Hugli,Hugli,district||West Bengal||Hugli,West Bengal,,,2094.5463,3.16,66.28
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,West Bengal||Jalpaiguri,Jalpaiguri,district||West Bengal||Jalpaiguri,West Bengal,,,55.3085,0.08,1.61
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Jharkhand||Jamtara,Jamtara,district||Jharkhand||Jamtara,Jharkhand,,,1252.9803,1.89,69.02
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Bihar||Jamui,Jamui,district||Bihar||Jamui,Bihar,,,396.2519,0.6,12.77
subbasin,BHG,Bhagirathi and others (Ganga Lower),subbasin||BHG,,Ganga Basin,Bhagirathi and others (Ganga Lower),district,Bihar||Katihar,Katihar,district||Bihar||Katihar,Bihar,,,2965.5981,4.47,97.24
